id,molecule_id,assay_id,endpoint_name,endpoint_category,measured_value,measured_unit,direction,significance_label,is_observed_experimental,source_document_id,source_location,evidence_grade
511,985,788,cell viability/cytotoxicity,general safety,,,decreased,,1,7336,Results > PDL E inhibits viability of MDA-MB-231 DOX RT cells in 2D and 3D cultures; paragraph 36,A
512,1066,789,hepatotoxicity,hepatic,,,,,1,1013,Methods > Patient eligibility; paragraph 16,B
513,1011,790,hepatotoxicity,hepatic,,,decreased,,1,1020,Results > ASO 8–3419 Enhances the Therapeutic Effect of Cisplatin in Xenografted HCT116 Tumors in Nude Mice; paragraph 26,A
514,986,791,hepatotoxicity,hepatic,,,no significant change,not significant,1,1233,Results > Subcutaneous administration allows for optimal distribution and is not toxic to mice; paragraph 14,A
516,521,793,hepatotoxicity,hepatic,,,increased,,1,1254,Abstract > Methods; paragraph 2,B
517,299,794,systemic safety/tolerability,general safety,,,,,1,1256,RESULTS > Prenatal IA ASO administration enhances therapeutic efficacy in SMAΔ7 mice; paragraph 10,A
518,522,795,hepatotoxicity,hepatic,,,increased,,1,1270,Results > Safety > AZD8701 monotherapy; paragraph 39,A
520,1012,797,hepatotoxicity,hepatic,,,no significant change,not significant,1,1783,Results > Safety evaluation of Chol-HDO[PMO]; paragraph 27,A
522,1013,799,hepatotoxicity,hepatic,,,no significant change,not significant,1,1803,Results > GMP grade exosomes for siRNA delivery showed no toxicity in preclinical studies; paragraph 6,A
527,1067,804,hepatotoxicity,hepatic,,,,,1,2535,Abstract > Methods; paragraph 3,B
528,1082,805,hepatotoxicity,hepatic,,,no significant change,not significant,1,3399,3. Results and Discussion > 3.12. Safety Evaluation; paragraph 56,C
529,1014,806,hepatotoxicity,hepatic,,,,,1,3402,"RESULTS > D-siRNA supports safe, potent and durable activity in the CNS; paragraph 24",A
530,435,807,hepatotoxicity,hepatic,,,decreased,,1,3407,Results > Muscle-optimal siRNA scaffold achieves systemic muscle effects and has a favorable safety profile; Figure 6. caption,A
531,525,808,hepatotoxicity,hepatic,,,increased,,1,3426,Results > Safety profiles of KC13-M2G2 in SD rats and cynomolgus monkeys; paragraph 19,A
533,1015,810,cell viability/cytotoxicity,general safety,,,,,1,3472,2. Results > 2.2. Cytotoxicity of CPP–PNA Conjugates in Mammalian Cells; paragraph 7,A
538,1068,815,cell viability/cytotoxicity,general safety,,,,,1,3573,OBSERVATION; Fig 1 caption,B
539,985,816,cell viability/cytotoxicity,general safety,,,increased,,1,3596,Results and Discussion > Biocompatibility of Cleavable Dendrimers; paragraph 51,C
540,1016,817,hepatotoxicity,hepatic,,,no significant change,not significant,1,3619,Results > L2-siRNA does not induce hallmarks of toxicity; paragraph 54,A
543,1017,820,hepatotoxicity,hepatic,,,no significant change,not significant,1,3710,Results > Anti-Tumor Efficacy and Safety Evaluation in Vivo; paragraph 63,A
544,1018,821,cell viability/cytotoxicity,general safety,,,,,1,3725,2. Materials and Methods > 2.8. Acute Toxicity (LDH Release); paragraph 25,A
545,1083,822,hepatotoxicity,hepatic,,,increased,,1,3765,Conclusion; paragraph 41,C
546,985,823,renal safety,renal,,,,,1,3771,2. Materials and Methods > 2.8. Toxicity Pathways Evaluation; paragraph 22,A
548,435,825,hepatotoxicity,hepatic,,,increased,,1,3801,RESULTS > Reduced 5’ end- and -2’- fluoro modification design; paragraph 37,A
551,528,828,hepatotoxicity,hepatic,,,increased,,1,7559,Results and Discussion > Specific Gene Silencing Studies; paragraph 21,C
556,1019,833,hepatotoxicity,hepatic,,,,,1,7717,Results > NP containing PCSK9 siRNA and STING agonists enable safe and effective cancer immunotherapy; paragraph 17,A
560,1020,837,hepatotoxicity,hepatic,,,no significant change,not significant,1,7835,2. Results > 2.4. Evaluation of the Cytotoxic Effects of Ternary Polyplexes; paragraph 22,A
565,1069,842,hepatotoxicity,hepatic,,,,,1,8330,article body; paragraph 6,B
566,531,843,hepatotoxicity,hepatic,,,increased,,1,8508,Results > Inhalation of mscFv/siPD-L1@LNP drives TME reconfiguration in orthotopic lung tumors; paragraph 15,A
568,1070,845,cell viability/cytotoxicity,general safety,,,,,1,8603,Materials and methods > Cell viability assay; paragraph 25,B
